road,id,model_type,name,lat,lon,length,condition,lengthR,lengthL,conditionR,conditionL,bridgedual,crossing,idx
N1,1000000,sourcesink,N1_start,23.7060278,90.443333,0.0,,,,,,,,
N1,1000001,link,N1_LRPS_LRP001a,23.7060278,90.443333,1800.0,,,,,,,,
N1,1000002,bridge,N1_LRP001a_LRP001a_E,23.69873866,90.4588610799999,11.3,0,,,,,,,
N1,1000003,link,N1_LRP001a_E_LRP004b,23.69869063161,90.45895838543,3113.7,,,,,,,,
N1,1000004,bridge,N1_LRP004b_LRP004b_E,23.6946638363636,90.4877749181818,6.6,0,,,,,,,
N1,1000005,link,N1_LRP004b_E_LRP008a,23.694671392363635,90.48783869898182,3079.3999999999996,,,,,,,,
N1,1000006,bridge,N1_LRP008a_LRP008b,23.7021111,90.5157778,395.615,1,,,,,,,
N1,1000007,link,N1_LRP008b_LRP009a,23.7045833,90.5188327,333.9999999999996,,,,,,,,
N1,51,intersection,N1_LRP009a_LRP010,23.7060833,90.5215271,740.0000000000002,,,,,,,123456820.0,123456819.0
N1,1000008,link,N1_LRP009a_LRP010a,23.7060833,90.5215271,1039.999999999999,,,,,,,,
N1,1000009,bridge,N1_LRP010a_LRP010a_E,23.6964000869109,90.5350989801047,8.0,1,,,,,,,
N1,1000010,link,N1_LRP010a_E_LRP010b,23.69638015851852,90.53517557037037,329.0000000000024,,,,,,,,
N1,1000011,bridge,N1_LRP010b_LRP010b_E,23.6943906141361,90.5375740774869,6.3,0,,,,,,,
N1,1000012,link,N1_LRP010b_E_LRP010c,23.694574837086417,90.53776276172839,10.699999999999932,,,,,,,,
N1,1000013,bridge,N1_LRP010c_LRP010c_E,23.6943023869158,90.5377073719626,6.3,0,,,,,,,
N1,1000014,link,N1_LRP010c_E_LRP011a,23.694483305728394,90.5378939345679,392.6999999999996,,,,,,,,
N1,1000015,bridge,N1_LRP011a_LRP011a_E,23.6923601518691,90.5409183897196,8.3,0,,,,,,,
N1,1000016,link,N1_LRP011a_E_LRP012a,23.692324242518517,90.54098807037037,440.6999999999996,,,,,,,,
N1,1000017,bridge,N1_LRP012a_LRP012b,23.6911108,90.5448886,6.1,0,,,,,,,
