road,link_start,link_end,chainage_start,chainage_end,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
N1,LRPS,LRPS,0.0,0.822,1866.0,23681.0,4995.0,11270.0,2549.0,8150.0,1194.0,8161.0,11448.0,1630.0,909.0,3755.0,0.0,74944.0,4664.0,79608.0,79608.0
N1,LRPS,LRPS,0.822,4.175,1062.0,11997.0,2701.0,5586.0,1497.0,4130.0,718.0,4459.0,5488.0,834.0,445.0,1977.0,0.0,38472.0,2422.0,40894.0,40894.0
N1,LRPS,LRPS,4.175,7.181,176.0,5250.0,4237.0,4946.0,3461.0,3207.0,612.0,3299.0,4423.0,2122.0,147.0,2338.0,0.0,31733.0,2485.0,34218.0,34218.0
N1,LRPS,LRP009,7.181,8.763,327.0,5860.0,2926.0,5014.0,2812.0,2714.0,665.0,3527.0,5847.0,2305.0,728.0,2608.0,0.0,31997.0,3336.0,35333.0,35333.0
N1,LRP009,LRP012,8.763,11.936,327.0,9384.0,6699.0,6176.0,5199.0,4538.0,594.0,3684.0,6234.0,2297.0,728.0,2608.0,0.0,45132.0,3336.0,48468.0,48468.0
N1,LRP012,LRP013,11.936,15.935,327.0,9384.0,6699.0,6176.0,5199.0,4538.0,594.0,3684.0,6234.0,2297.0,728.0,2608.0,0.0,45132.0,3336.0,48468.0,48468.0
N1,LRP013,LRP013,15.935,20.044,327.0,9384.0,6699.0,6176.0,5199.0,4538.0,594.0,3684.0,6234.0,2297.0,728.0,2608.0,0.0,45132.0,3336.0,48468.0,48468.0
N1,LRP013,LRP022,20.044,23.564,599.0,10313.0,2121.0,3420.0,1410.0,3310.0,799.0,4098.0,2484.0,424.0,68.0,327.0,0.0,28978.0,395.0,29373.0,29373.0
N1,LRP022,LRP031,23.564,30.936,599.0,10313.0,2121.0,3420.0,1410.0,3310.0,799.0,4098.0,2484.0,424.0,68.0,327.0,0.0,28978.0,395.0,29373.0,29373.0
N1,LRP031,LRP033,30.936,36.271,599.0,10313.0,2121.0,3420.0,1410.0,3310.0,799.0,4098.0,2484.0,424.0,68.0,327.0,0.0,28978.0,395.0,29373.0,29373.0
N1,LRP033,LRP033,36.271,38.466,599.0,10313.0,2121.0,3420.0,1410.0,3310.0,799.0,4098.0,2484.0,424.0,68.0,327.0,0.0,28978.0,395.0,29373.0,29373.0
N1,LRP033,LRP043,38.466,45.388,707.0,9713.0,1779.0,3264.0,1198.0,1394.0,795.0,2175.0,1586.0,330.0,70.0,253.0,0.0,22941.0,323.0,23264.0,23264.0
N1,LRP043,LRP043,45.388,47.224,707.0,9713.0,1779.0,3264.0,1198.0,1394.0,795.0,2175.0,1586.0,330.0,70.0,253.0,0.0,22941.0,323.0,23264.0,23264.0
N1,LRP043,LRP043,47.224,55.477,707.0,9713.0,1779.0,3264.0,1198.0,1394.0,795.0,2175.0,1586.0,330.0,70.0,253.0,0.0,22941.0,323.0,23264.0,23264.0
N1,LRP043,LRP043,55.477,62.278,707.0,9713.0,1779.0,3264.0,1198.0,1394.0,795.0,2175.0,1586.0,330.0,70.0,253.0,0.0,22941.0,323.0,23264.0,23264.0
N1,LRP043,LRP067,62.278,69.638,707.0,9713.0,1779.0,3264.0,1198.0,1394.0,795.0,2175.0,1586.0,330.0,70.0,253.0,0.0,22941.0,323.0,23264.0,23264.0
N1,LRP067,LRP076,69.638,75.589,644.0,10858.0,1443.0,3687.0,928.0,1996.0,808.0,2257.0,3903.0,1109.0,224.0,358.0,0.0,27633.0,582.0,28215.0,28215.0
N1,LRP076,LRP076,75.589,81.846,644.0,10858.0,1443.0,3687.0,928.0,1996.0,808.0,2257.0,3903.0,1109.0,224.0,358.0,0.0,27633.0,582.0,28215.0,28215.0
N1,LRP076,LRP076,81.846,85.897,644.0,10858.0,1443.0,3687.0,928.0,1996.0,808.0,2257.0,3903.0,1109.0,224.0,358.0,0.0,27633.0,582.0,28215.0,28215.0
N1,LRP076,LRP076,85.897,87.366,644.0,10858.0,1443.0,3687.0,928.0,1996.0,808.0,2257.0,3903.0,1109.0,224.0,358.0,0.0,27633.0,582.0,28215.0,28215.0
N1,LRP076,LRP091,87.366,89.41,615.0,11323.0,1618.0,2662.0,628.0,1038.0,539.0,1557.0,2841.0,754.0,136.0,287.0,0.0,23575.0,423.0,23998.0,23998.0
N1,LRP091,LRP093,89.41,91.583,615.0,11323.0,1618.0,2662.0,628.0,1038.0,539.0,1557.0,2841.0,754.0,136.0,287.0,0.0,23575.0,423.0,23998.0,23998.0
N1,LRP093,LRP105,91.583,105.879,615.0,11323.0,1618.0,2662.0,628.0,1038.0,539.0,1557.0,2841.0,754.0,136.0,287.0,0.0,23575.0,423.0,23998.0,23998.0
N1,LRP105,LRP105,105.879,119.698,615.0,11323.0,1618.0,2662.0,628.0,1038.0,539.0,1557.0,2841.0,754.0,136.0,287.0,0.0,23575.0,423.0,23998.0,23998.0
N1,LRP105,LRP142,119.698,138.869,857.0,7353.0,1589.0,1541.0,618.0,1362.0,557.0,1097.0,1689.0,677.0,69.0,236.0,0.0,17340.0,305.0,17645.0,17645.0
N1,LRP142,LRP143,138.869,140.251,857.0,7353.0,1589.0,1541.0,618.0,1362.0,557.0,1097.0,1689.0,677.0,69.0,236.0,0.0,17340.0,305.0,17645.0,17645.0
N1,LRP143,LRP146,140.251,143.034,1354.0,9608.0,2409.0,4157.0,1255.0,1955.0,465.0,1529.0,2888.0,757.0,240.0,463.0,0.0,26377.0,703.0,27080.0,27080.0
N1,LRP146,LRP147,143.034,145.409,1354.0,9608.0,2409.0,4157.0,1255.0,1955.0,465.0,1529.0,2888.0,757.0,240.0,463.0,0.0,26377.0,703.0,27080.0,27080.0
N1,LRP147,LRP152,145.409,149.289,705.0,11531.0,3189.0,3190.0,1299.0,2326.0,640.0,2051.0,2518.0,824.0,185.0,395.0,0.0,28273.0,580.0,28853.0,28853.0
N1,LRP152,LRP160,149.289,157.685,830.0,10099.0,2182.0,3133.0,532.0,1388.0,517.0,1806.0,1687.0,394.0,424.0,329.0,0.0,22568.0,753.0,23321.0,23321.0
N1,LRP160,LRP164,157.685,161.582,705.0,11531.0,3189.0,3190.0,1299.0,2326.0,640.0,2051.0,2518.0,824.0,185.0,395.0,0.0,28273.0,580.0,28853.0,28853.0
N1,LRP164,LRP164,161.582,167.683,742.0,7972.0,2028.0,2671.0,1065.0,1517.0,596.0,1540.0,4551.0,663.0,184.0,533.0,0.0,23345.0,717.0,24062.0,24062.0
